domain_ar,program_name_ar,specialization_ar,program_code,institution_ar,university_ar,bac_type_ar,formula_T,cutoff_2024
,-ذكاء الأعمال -الخدمات الإلكترونية في الأعمال -نظم معلومات في الأعمال,,,,,,FG+(M+Info)/2,138.255
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,128.315
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,130.465
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,139.678
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,123.85
,المعهد العالى للتصرف بسوسة (جامعة سوسة(,,,,,,FG+(M+Info)/2,148.019
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,106.221
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,156.51
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,187.785
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,128.111
,كلية العلوم الإقتصادية والتصرف بالمهدية (جامعة المنستير(,,,,,,FG+(M+Info)/2,137.325
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,129.71
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,140.055
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,151.004
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,123.955
,المعهد العالي للإعلامية بالمهدية (جامعة المنستير(,,,,,,FG+(M+Info)/2,141.535
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,136.085
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,145.625
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,159.015
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,129.63
,كلية العلوم الإقتصادية والتصرف بصفاقس (جامعة صفاقس(,,,,,,FG+(M+Info)/2,135.248
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,118.028
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,145.37
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,158.151
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,109.529
,المدرسة العليا للتجارة بصفاقس (جامعة صفاقس(,,,,,,FG+(M+Info)/2,132.354
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,129.577
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,161.565
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,147.569
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,107.412
,المعهد العالي لادارة الاعمال بصفاقس (جامعة صفاقس(,,,,,,FG+(M+Info)/2,129.839
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,126.925
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,129.93
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,147.607
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,106.07
,المعهد العالي للتصرف الصناعي بصفاقس (جامعة صفاقس(,,,,,,FG+(M+Info)/2,132.56
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,126.825
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,141.813
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,156.862
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,108.227
,-الخدمات الإلكترونية في الأعمال -نظم معلومات في الأعمال,,,,,,FG+(M+Info)/2,108.985
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,115.417
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,125.48
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,147.703
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,98.179
,المعهد العالي لإدارة المؤسسات بقفصة (جامعة قفصة(,,,,,,FG+(M+Info)/2,94.758
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,118.214
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,103.98
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,144.076
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,80.567
,المعهد العالي للإعلامية والتصرف بالقيروان (جامعة القيروان(,,,,,,FG+(M+Info)/2,119.305
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,115.745
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,117.203
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,151.079
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,105.015
,-ذكاء الأعمال -الخدمات الإلكترونية في الأعمال -نظم معلومات في الأعمال,,,,,كلية العلوم القانونية والاقتصادية والتصرف بجندوبة (جامعة جندوبة(,FG+(M+Info)/2,100.14
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,114.62
,إقتصاد وتصرف,,,,,,FG+(M+Info)/2,108.74
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,117.133
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,106.182
,المعهد العالي للد ارسات التكنولوجية في المواصلات بتونس (الإدارة العامة للدّ ارسات التّكنولوجيّة ),,,,,,FG+Info,156.47
,3 سنوات (امد),,,,,علوم تجريبية,FG+Info,144.38
,إقتصاد وتصرف,,,,,,FG+Info,149.175
,علوم الإعلامية,,,,,علوم الإعلامية,FG+Algo,152.43
,-كيمياء المواد -بحث -الكيمياء الدقيقة -التحاليل الفيزيائية-كيميائية,,,,,,FG+(M+SP)/2,89.125
,3 سنوات (امد),,,,,علوم تجريبية,FG+(M+SP)/2,102.724
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,114.602
,المعهد العالي لعلوم وتكنولوجيات البيئة ببرج السدرية (جامعة قرطاج(,,,,,,FG+(M+SP)/2,92.14
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,83.804
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,112.885
,-بحث -الكيمياء الدقيقة -الكيمياء الصناعية,,,,,,FG+(M+SP)/2,96.073
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,73.82
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,104.84
,المدرسة العليا للعلوم والتكنولوجيا بحمام سوسة (جامعة سوسة(,,,,,,FG+(M+SP)/2,94.905
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,96.778
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,109.557
,-كيمياء المواد -بحث -الكيمياء الطبية والمواد الطبيعية -كيمياء الماء والبيئة,,,,,,FG+(M+SP)/2,102.13
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,96.505
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,107.15
,-بحث -مواد التجميل والروائح والعطور -اللف والتغليف -المواد البوليميرية )polymères( -مواد البناء والخزف والبلور,,,,,,FG+(M+SP)/2,107.902
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,78.449
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,95.017
,كلية العلوم بقابس (جامعة قابس(,,,,,,FG+(M+SP)/2,50501.0
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,86.231
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,81.863
,كلية العلوم بقفصة (جامعة قفصة),,,,,,FG+(M+SP)/2,60501.0
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,107.84
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,97.435
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+(M+SP)/2,122.151
,3 سنوات (امد),,,,,علوم تجريبية,FG+(M+SP)/2,103.184
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,181.14
,المعهد العالي لعلوم و تكنولوجيات البيئة ببرج السدرية (جامعة قرطاج(,,,,,,FG+(M+SP)/2,109.392
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,75.04
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,108.364
,كلية العلوم ببنزرت (جامعة قرطاج(,,,,,,FG+(M+SP)/2,114.655
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,74.713
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,97.142
,كلية العلوم بالمنستير (جامعة المنستير (,,,,,,FG+(M+SP)/2,105.654
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,93.329
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,113.452
,كلية العلوم بصفاقس (جامعة صفاقس (,,,,,,FG+(M+SP)/2,98.79
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,78.659
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,105.885
,كلية العلوم والتقنيات بسيد ي بوزيد (جامعة القيروان),,,,,,FG+(M+SP)/2,75502.0
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,83.772
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,99.495
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+(M+SP)/2,116.24
,3 سنوات (امد),,,,,علوم تجريبية,FG+(M+SP)/2,73.037
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,97.83
,-فيزياء الإستشعار,,,,,,FG+(M+SP)/2,96.607
,كلية العلوم ببنزرت(جامعة قرطاج),,,,,علوم تجريبية,FG+(M+SP)/2,82.904
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,94.77
,كلية العلوم بالمنستير (جامعة المنستير (,,,,,,FG+(M+SP)/2,92.915
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,73.935
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,102.475
,كلية العلوم بصفاقس (جامعة صفاقس),,,,,,FG+(M+SP)/2,101.36
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,82.75
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,85.24
,الفيزياء,,,,,,FG+(M+SP)/2,50503.0
,كلية العلوم بقابس (جامعة قابس),,,,,علوم تجريبية,FG+(M+SP)/2,83.071
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,88.162
,كلية العلوم بقفصة (جامعة قفصة),,,,,,FG+(M+SP)/2,60503.0
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,88.582
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,89.318
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+(M+SP)/2,113.244
,3 سنوات (امد),,,,,علوم تجريبية,FG+(M+SP)/2,100.625
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,109.33
,كلية العلوم ببنزرت (جامعة قرطاج(,,,,,,FG+(M+SP)/2,98.683
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,75.936
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,95.25
,المدرسة العليا للعلوم والتكنولوجيا بحمام سوسة (جامعة سوسة(,,,,,,FG+(M+SP)/2,113.325
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,105.261
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,114.59
,كلية العلوم بالمنستير (جامعة المنستير(,,,,,,FG+(M+SP)/2,108.425
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,93.797
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,102.627
,كلية العلوم بصفاقس (جامعة صفاقس(,,,,,,FG+(M+SP)/2,90.04
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,78.949
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,90.164
,كلية العلوم بقفصة (جامعة قفصة),,,,,,FG+(M+SP)/2,60504.0
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+SP)/2,90.206
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,73.122
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+M,116.47
,3 سنوات (امد),,,,,علوم تجريبية,FG+M,121.729
,العلوم التقنية,,,,,العلوم التقنية,FG+M,131.064
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,140.202
,المعهد العالي لعلوم و تكنولوجيات البيئة ببرج السدرية (جامعة قرطاج(,,,,,,FG+M,97.056
,علوم تجريبية,,,,,علوم تجريبية,FG+M,99.802
,العلوم التقنية,,,,,العلوم التقنية,FG+M,103.929
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,115.812
,كلية العلوم بالمنستير (جامعة المنستير(,,,,,,FG+M,95.542
,علوم تجريبية,,,,,علوم تجريبية,FG+M,100.225
,العلوم التقنية,,,,,العلوم التقنية,FG+M,110.955
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,107.17
,المعهد العالي للإعلامية والرياضيات بالمنستير (جامعة المنستير(,,,,,,FG+M,93.055
,علوم تجريبية,,,,,علوم تجريبية,FG+M,107.762
,العلوم التقنية,,,,,العلوم التقنية,FG+M,117.81
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,113.84
,-الرياضيات التطبيقية -الأكتوارية Actuarielle() والتأمين -النمذجة و المحاكاة -التحسين والبحث في العمليات,,,,,,FG+M,96.178
,علوم تجريبية,,,,,علوم تجريبية,FG+M,82.322
,العلوم التقنية,,,,,العلوم التقنية,FG+M,80.15
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,95.102
,كلية العلوم بقفصة (جامعة قفصة),,,,,,FG+M,60505.0
,العلوم التقنية,,,,,العلوم التقنية,FG+M,82.735
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,109.78
,المعهد العالي للرياضيات التطبيقية والإعلامية بالقيروان (جامعة القيروان (,,,,,المعهد العالي للرياضيات التطبيقية والإعلامية بالقيروان (جامعة القيروان (,FG+M,111.057
,علوم تجريبية,,,,,علوم تجريبية,FG+M,90.572
,العلوم التقنية,,,,,العلوم التقنية,FG+M,85.04
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,88.662
,المدرسة العليا للمهندسين بمجاز الباب (جامعة جندوبة(,,,,,العلوم التقنية,FG+(M+SP+TE)/3,99.957
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,الرياضيات والإعلامية,FG+M,87.867
,3 سنوات (امد),,,,,علوم تجريبية,FG+M,115.565
,العلوم التقنية,,,,,العلوم التقنية,FG+M,143.268
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,130.984
,-الرياضيات -الرياضيات والإعلامية,,,,,-الرياضيات -الرياضيات والإعلامية,FG+M,79.215
,علوم تجريبية,,,,,علوم تجريبية,FG+M,82.19
,العلوم التقنية,,,,,العلوم التقنية,FG+M,122.34
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,105.775
,المدرسة العليا للعلوم والتكنولوجيا بحمام سوسة (جامعة سوسة(,,,,,-الرياضيات -الرياضيات والإعلامية,FG+M,94.449
,علوم تجريبية,,,,,علوم تجريبية,FG+M,111.19
,العلوم التقنية,,,,,العلوم التقنية,FG+M,170.446
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,100.955
,كلية العلوم بالمنستير (جامعة المنستير (,,,,,,FG+M,90.692
,علوم تجريبية,,,,,علوم تجريبية,FG+M,102.592
,العلوم التقنية,,,,,العلوم التقنية,FG+M,130.578
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,120.295
,كلية العلوم بصفاقس (جامعة صفاقس (,,,,,,FG+M,98.872
,علوم تجريبية,,,,,علوم تجريبية,FG+M,107.335
,العلوم التقنية,,,,,العلوم التقنية,FG+M,144.52
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,131.33
,-الرياضيات -الرياضيات والإعلامية,,,,,-الرياضيات -الرياضيات والإعلامية,FG+M,118.979
,علوم تجريبية,,,,,علوم تجريبية,FG+M,92.695
,العلوم التقنية,,,,,العلوم التقنية,FG+M,91.715
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,100.67
,كلية العلوم بقفصة (جامعة قفصة),,,,,,FG+M,60507.0
,علوم تجريبية,,,,,علوم تجريبية,FG+M,98.474
,العلوم التقنية,,,,,العلوم التقنية,FG+M,98.954
,علوم الإعلامية,,,,,علوم الإعلامية,FG+M,87.242
,المعهد العالي للبيوتكنولوجيا بسيدي ثابت (جامعة منوبة(,,,,,,FG+SVT,109.865
,3 سنوات (امد),,,,,علوم تجريبية,FG+SVT,104.799
,-البيولوجيا الجزيئية والخلوية -بيولوجيا المجموعات والأنظمة,,,,,,FG+SVT,120.515
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,113.579
,كلية العلوم ببنزرت (جامعة قرطاج(,,,,,,FG+SVT,20509.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,107.995
,المعهد العالي للبيوتكنولوجيا بالمنستير (جامعة المنستير(,,,,,,FG+SVT,117.802
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,114.845
,كلية العلوم بصفاقس (جامعة صفاقس(,,,,,,FG+SVT,40509.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,105.5
,كلية العلوم بقابس (جامعة قابس,,,,,,FG+SVT,50509.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,97.445
,-البيولوجيا الجزيئية والخلوية -بيولوجيا المجموعات والأنظمة,,,,,,FG+SVT,60509.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,79.028
,المعهد العالي للبيوتكنولوجيا بباجة (جامعة جندوبة(,,,,,,FG+SVT,84509.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,102.507
,-علوم وتقنيات الجيولوجيا -جيولوجيا الأشغال الكبرى والمنشآت -الموارد الجيولوجية والمحيط -الموارد الجيولوجية الطاقية,,,,,,FG+SVT,105.564
,3 سنوات (امد),,,,,علوم تجريبية,FG+SVT,90.934
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,101.088
,المعهد العالي لعلوم وتكنولوجيات البيئة ببرج السدرية (جامعة قرطاج (,,,,,,FG+SVT,13510.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,84.438
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,89.0
,-علوم وتقنيات الجيولوجيا -الموارد الجيولوجية والمحيط,,,,,,FG+SVT,89.833
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,79.302
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,87.388
,-علوم وتقنيات الجيولوجيا -جيولوجيا الأشغال الكبرى والمنشآت -الموارد الجيولوجية والمحيط -علوم المياه,,,,,,FG+SVT,92.655
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,76.374
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,91.82
,-علوم وتقنيات الجيولوجيا -الموارد الجيولوجية والمحيط,,,,,,FG+SVT,50510.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,83.095
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,73.94
,المعهد العالي لعلوم وتقنيات المياه بقابس (جامعة قابس (,,,,,,FG+SVT,51510.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,85.877
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,91.034
,كلية العلوم بقفصة (جامعة قفصة(,,,,,,FG+SVT,60510.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,91.478
,العلوم التقنية,,,,,العلوم التقنية,FG+SP,
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+SVT,102.656
,3 سنوات (امد),,,,,علوم تجريبية,FG+SVT,82.972
,-التصرف وتثمين الموارد البيولوجية -إدارة الجودة وسلامة المحيط -معالجة وتثمين النفايات,,,,,,FG+SVT,107.724
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,80.62
,المعهد العالي لعلوم وتكنولوجيات البيئة ببرج السدرية (جامعة قرطاج (,,,,,,FG+SVT,12512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,84.365
,الم ارقبة البيولوجية للنظم الإيكولوجية,,,,,,FG+SVT,20512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,77.784
,-البيولوجيا البحرية -علم البيئة والمحيط البري,,,,,,FG+SVT,40512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,88.341
,المعهد العالي للبيولوجيا التطبيقية بمدنين (جامعة قابس),,,,,,FG+SVT,54512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,108.414
,كلية العلوم والتقنيات بسيدي بوزيد (جامعة القيروان),,,,,,FG+SVT,75512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,88.512
,المعهد العالي للبيوتكنولوجيا بباجة (جامعة جندوبة),,,,,,FG+SVT,84512.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,93.898
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+SVT,108.807
,3 سنوات (امد),,,,,علوم تجريبية,FG+SVT,115.373
,كلية العلوم ببنزرت (جامعة قرطاج(,,,,,,FG+SVT,20513.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,113.318
,كلية العلوم بصفاقس (جامعة صفاقس (,,,,,,FG+SVT,110.427
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,112.042
,كلية العلوم بقابس (جامعة قابس(,,,,,,FG+SVT,50513.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,96.474
,كلية العلوم بقفصة (جامعة قفصة(,,,,,,FG+SVT,60513.0
,علوم تجريبية,,,,,علوم تجريبية,FG+SVT,75.847
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+(M+SP)/2,103.588
,3 سنوات (امد),,,,,علوم تجريبية,FG+(M+SP)/2,99.672
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+SP)/2,121.08
,-علوم وتحليل البيانات الضخمة -الإعلامية الدقيقة والآلات المحمولة -الإعلامية والوسائط المتعددة,,,,,-علوم وتحليل البيانات الضخمة -الإعلامية الدقيقة والآلات المحمولة -الإعلامية والوسائط المتعددة,FG+(M+Info)/2,170.949
,بالاشت ارك مع المد رسة العليا للتجارة,,,,,علوم تجريبية,FG+(M+Info)/2,158.713
,بمنوبة بالنسبة إلى مسلك علوم وتحليل,,,,,العلوم التقنية,FG+(M+Info)/2,179.353
,البيانات الضخمة,,,,,علوم الإعلامية,FG+(M+Algo)/2,185.907
,-هندسة البرمجيات ونظم المعلومات -الإعلامية والوسائط المتعددة,,,,,-هندسة البرمجيات ونظم المعلومات -الإعلامية والوسائط المتعددة,FG+(M+Info)/2,191.589
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,180.402
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,194.424
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,198.993
,كلية العلوم بتونس (جامعة تونس المنار (,,,,,,FG+(M+Info)/2,179.482
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,170.868
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,185.955
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,193.408
,المعهد العالي لتكنولوجيا المعلومات والاتصال ببرج السدرية (جامعة قرطاج(,,,,,,FG+(M+Info)/2,169.815
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,160.38
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,182.301
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,188.673
,كلية العلوم ببنزرت (جامعة قرطاج(,,,,,,FG+(M+Info)/2,152.91
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,141.485
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,163.8
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,169.52
,المعهد العالي للعلوم التطبيقية والتكنولوجيا بماطر (جامعة قرطاج(,,,,,,FG+(M+Info)/2,142.353
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,131.42
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,155.83
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,157.735
,المعهد العالي للإعلامية وتكنولوجيات الاتصال بسوسة (جامعة سوسة(,,,,,الإعلامية والوسائط المتعددة,FG+(M+Info)/2,155.815
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,151.355
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,182.901
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,155.048
,المعهد العالي للعلوم التطبيقية والتكنولوجيا بسوسة (جامعة سوسة(,,,,,,FG+(M+Info)/2,171.264
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,163.7
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,189.989
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,177.278
,المدرسة العليا للعلوم والتكنولوجيا بحمام سوسة (جامعة سوسة (,,,,,,FG+(M+Info)/2,153.325
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,147.235
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,180.477
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,162.47
,كلية العلوم بالمنستير (جامعة المنستير (,,,,,,FG+(M+Info)/2,145.08
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,136.32
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,159.6
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,154.855
,المعهد العالي للإعلامية والرياضيات بالمنستير (جامعة المنستير(,,,,,,FG+(M+Info)/2,164.609
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,161.475
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,176.16
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,171.045
,-هندسة البرمجيات ونظم المعلومات -الإعلامية والوسائط المتعددة,,,,,-هندسة البرمجيات ونظم المعلومات -الإعلامية والوسائط المتعددة,FG+(M+Info)/2,148.355
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,141.93
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,170.51
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,160.92
,كلية العلوم بصفاقس (جامعة صفاقس (,,,,,,FG+(M+Info)/2,142.99
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,130.759
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,161.495
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,137.3
,-علوم وتحليل البيانات الضخمة -الإعلامية والوسائط المتعددة,,,,,-علوم وتحليل البيانات الضخمة -الإعلامية والوسائط المتعددة,FG+(M+Info)/2,146.975
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,134.617
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,164.721
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(M+Algo)/2,126.175
,هندسة البرمجيات ونظم المعلومات,,,,,,FG+(M+Info)/2,112.965
,علوم تجريبية,,,,,علوم تجريبية,FG+(M+Info)/2,114.045
,العلوم التقنية,,,,,العلوم التقنية,FG+(M+Info)/2,140.255
