domain_ar,program_name_ar,specialization_ar,program_code,institution_ar,university_ar,bac_type_ar,formula_T,cutoff_2024
,رياضة,,,,,رياضة,FG+F,108.546
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة ),,11103,,,,FG+F,73.038
,رياضيات,,,,,,FG+F,
,علوم تجريبية,,,,,علوم تجريبية,FG+F,118.627
,إقتصاد وتصرف,,,,,,FG+F,81.497
,العلوم التقنية,,,,,العلوم التقنية,FG+F,101.06
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,91.103
,رياضة,,,,,رياضة,FG+F,116.502
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار),,12103,,,,FG+F,67.573
,علوم تجريبية,,,,,علوم تجريبية,FG+F,126.907
,إقتصاد وتصرف,,,,,,FG+F,75.202
,العلوم التقنية,,,,,العلوم التقنية,FG+F,101.598
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,113.238
,رياضة,,,,,رياضة,FG+F,
,المعهد العالي للغات بتونس (جامعة قرطاج),,13103,,,,FG+F,71.055
,رياضيات,,,,,,FG+F,125.121
,علوم تجريبية,,,,,علوم تجريبية,FG+F,144.568
,إقتصاد وتصرف,,,,,,FG+F,84.752
,العلوم التقنية,,,,,العلوم التقنية,FG+F,134.601
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,102.03
,رياضة,,,,,رياضة,FG+F,91.68
,المعهد العالي للغات بنابل (جامعة قرطاج ),,22103,,,,FG+F,74.157
,علوم تجريبية,,,,,علوم تجريبية,FG+F,117.217
,إقتصاد وتصرف,,,,,,FG+F,73.437
,العلوم التقنية,,,,,العلوم التقنية,FG+F,97.415
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,103.345
,رياضة,,,,,رياضة,FG+F,83.27
,كلية الآداب والعلوم الإنسانية بسوسة (جامعة سوسة),,30103,,,,FG+F,73.443
,علوم تجريبية,,,,,علوم تجريبية,FG+F,124.09
,إقتصاد وتصرف,,,,,,FG+F,74.499
,العلوم التقنية,,,,,العلوم التقنية,FG+F,127.164
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,96.805
,رياضة,,,,,رياضة,FG+F,108.505
,المعهد العالي للغات بالمكنين (جامعة المنستير),,,,,,FG+F,71.128
,علوم تجريبية,,,,,علوم تجريبية,FG+F,131.79
,إقتصاد وتصرف,,,,,,FG+F,83.795
,العلوم التقنية,,,,,العلوم التقنية,FG+F,86.254
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,110.146
,رياضة,,,,,رياضة,FG+F,86.993
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس),,,,,,FG+F,77.945
,علوم تجريبية,,,,,علوم تجريبية,FG+F,123.708
,إقتصاد وتصرف,,,,,,FG+F,79.265
,العلوم التقنية,,,,,العلوم التقنية,FG+F,94.465
,علوم الإعلامية,,,,,علوم الإعلامية,FG+F,
,رياضة,,,,,رياضة,FG+F,160.275
,المعهد العالي للغات بقابس (جامعة قابس),,,,,,FG+F,65.826
,علوم تجريبية,,,,,علوم تجريبية,FG+F,122.793
,إقتصاد وتصرف,,,,,,FG+F,72.932
,العلوم التقنية,,,,,العلوم التقنية,FG+F,107.128
,رياضة,,,,,رياضة,FG+F,113.38
,المعهد العالي للعلوم الإنسانية بمدنين (جامعة قابس),,,,,,FG+F,71.2099
,علوم تجريبية,,,,,علوم تجريبية,FG+F,108.647
,إقتصاد وتصرف,,,,,,FG+F,97.926
,العلوم التقنية,,,,,العلوم التقنية,FG+F,107.742
,المعهد العالي للد ارسات التطبيقية في الانسانيات بقفصة (جامعة قفصة),,60103,,,,FG+F,69.947
,علوم تجريبية,,,,,علوم تجريبية,FG+F,107.995
,إقتصاد وتصرف,,,,,,FG+F,94.284
,العلوم التقنية,,,,,العلوم التقنية,FG+F,88.377
,المعهد العالي للد ارسات التطبيقية في الإنسانيات بتوزر(جامعة قفصة),,63103,,,,FG+F,84.377
,علوم تجريبية,,,,,علوم تجريبية,FG+F,125.385
,إقتصاد وتصرف,,,,,,FG+F,88.745
,العلوم التقنية,,,,,العلوم التقنية,FG+F,
,كلية الآداب والعلوم الإنسانية بالقيروان (جامعة القيروان),,70103,,,,FG+F,76.098
,علوم تجريبية,,,,,علوم تجريبية,FG+F,110.732
,إقتصاد وتصرف,,,,,,FG+F,95.235
,العلوم التقنية,,,,,العلوم التقنية,FG+F,86.718
,المعهد العالي للعلوم الإنسانية بجندوبة (جامعة جندوبة),,80103,,,,FG+F,67.022
,علوم تجريبية,,,,,علوم تجريبية,FG+F,116.999
,إقتصاد وتصرف,,,,,,FG+F,77.54
,العلوم التقنية,,,,,العلوم التقنية,FG+F,98.269
,المعهد العالي للد ارسات التطبيقية في الإنسانيات بالكاف (جامعة جندوبة ),,82103,,,,FG+F,72.442
,علوم تجريبية,,,,,علوم تجريبية,FG+F,121.129
,اقتصاد وتصرف,,,,,اقتصاد وتصرف,FG+F,85.535
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة ),,10104,,,,FG+ESP,89.832
,3 سنوات (امد),,,,,,FG+ESP,127.507
,إسبانية إجبارية,,,,,علوم تجريبية,FG+ESP,129.957
,إقتصاد وتصرف,,,,,,FG+ESP,106.385
,العلوم التقنية,,,,,العلوم التقنية,FG+ESP,
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ESP,
,رياضة,,,,,رياضة,FG+ESP,
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار),,11104,,,اقتصاد وتجارة دولية,FG+ESP,112.185
,رياضيات,,,,,,FG+ESP,
,علوم تجريبية,,,,,علوم تجريبية,FG+ESP,134.456
,إقتصاد وتصرف,,,,,,FG+ESP,99.184
,العلوم التقنية,,,,,العلوم التقنية,FG+ESP,104.716
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ESP,146.023
,-اللغة والآداب والحضارة -تواصل الثقافات والسياحة,,12104,,,,FG+ESP,96.48
,رياضيات,,,,,,FG+ESP,145.873
,علوم تجريبية,,,,,علوم تجريبية,FG+ESP,126.581
,إقتصاد وتصرف,,,,,,FG+ESP,92.623
,العلوم التقنية,,,,,العلوم التقنية,FG+ESP,112.329
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ESP,132.675
,المعهد العالي للغات بالمكنين (جامعة المنستير),,34104,,,,FG+ESP,112.928
,رياضيات,,,,,,FG+ESP,160.393
,علوم تجريبية,,,,,علوم تجريبية,FG+ESP,135.2
,إقتصاد وتصرف,,,,,,FG+ESP,90.987
,العلوم التقنية,,,,,العلوم التقنية,FG+ESP,121.129
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ESP,107.895
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس),,40104,,,,FG+ESP,79.907
,علوم تجريبية,,,,,علوم تجريبية,FG+ESP,138.849
,إقتصاد وتصرف,,,,,,FG+ESP,87.053
,العلوم التقنية,,,,,العلوم التقنية,FG+ESP,114.04
,المعهد العالي للغات بقابس (جامعة قابس),,50104,,,,FG+ESP,99.665
,علوم تجريبية,,,,,علوم تجريبية,FG+ESP,135.976
,إقتصاد وتصرف,,,,,,FG+ESP,85.614
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ESP,106.567
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة ),,10105,,,,FG+IT,100.043
,رياضيات,,,,,,FG+IT,
,إيطالية إجبارية,,,,,علوم تجريبية,FG+IT,134.296
,إقتصاد وتصرف,,,,,,FG+IT,90.977
,العلوم التقنية,,,,,العلوم التقنية,FG+IT,94.775
,علوم الإعلامية,,,,,علوم الإعلامية,FG+IT,124.853
,رياضة,,,,,رياضة,FG+IT,
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار),,11105,,,اقتصاد وتجارة دولية,FG+IT,104.365
,رياضيات,,,,,,FG+IT,115.865
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,133.172
,إقتصاد وتصرف,,,,,,FG+IT,109.317
,العلوم التقنية,,,,,العلوم التقنية,FG+IT,101.86
,علوم الإعلامية,,,,,علوم الإعلامية,FG+IT,127.715
,-اللغة والآداب والحضارة -تواصل الثقافات والسياحة,,12105,,,,FG+IT,86.725
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,124.525
,إقتصاد وتصرف,,,,,,FG+IT,98.365
,العلوم التقنية,,,,,العلوم التقنية,FG+IT,
,علوم الإعلامية,,,,,علوم الإعلامية,FG+IT,105.316
,المعهد العالي للغات بنابل (جامعة قرطاج ),,22105,,,,FG+IT,102.425
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,128.833
,إقتصاد وتصرف,,,,,,FG+IT,104.272
,العلوم التقنية,,,,,العلوم التقنية,FG+IT,113.115
,علوم الإعلامية,,,,,علوم الإعلامية,FG+IT,
,المعهد العالي للغات بالمكنين (جامعة المنستير),,34105,,,,FG+IT,106.904
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,135.5
,إقتصاد وتصرف,,,,,,FG+IT,110.392
,العلوم التقنية,,,,,العلوم التقنية,FG+IT,128.015
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس),,40105,,,,FG+IT,84.894
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,105.825
,إقتصاد وتصرف,,,,,,FG+IT,84.235
,المعهد العالي للغات بقابس (جامعة قابس),,50105,,,اقتصاد وتجارة دولية,FG+IT,105.117
,علوم تجريبية,,,,,علوم تجريبية,FG+IT,125.8
,إقتصاد وتصرف,,,,,,FG+IT,104.619
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة ),,10106,,,,FG+ALL,93.013
,3 سنوات (امد) ألمانية إجبارية,,,,,,FG+ALL,157.9
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,129.882
,إقتصاد وتصرف,,,,,,FG+ALL,101.245
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,106.802
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ALL,101.056
,رياضة,,,,,رياضة,FG+ALL,
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار),,11106,,,اقتصاد وتجارة دولية,FG+ALL,103.56
,رياضيات,,,,,,FG+ALL,148.216
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,137.302
,إقتصاد وتصرف,,,,,,FG+ALL,97.804
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,113.586
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ALL,122.453
,المعهد العالي للغات بتونس (جامعة قرطاج),,12106,,,,FG+ALL,86.88
,رياضيات,,,,,,FG+ALL,118.064
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,103.1
,إقتصاد وتصرف,,,,,,FG+ALL,84.185
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,137.442
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ALL,95.936
,المعهد العالي للغات بالمكنين (جامعة المنستير),,34106,,,,FG+ALL,97.623
,رياضيات,,,,,,FG+ALL,120.102
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,150.356
,إقتصاد وتصرف,,,,,,FG+ALL,95.191
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,112.925
,علوم الإعلامية,,,,,علوم الإعلامية,FG+ALL,
,المعهد العالي للغات بقابس (جامعة قابس),,50106,,,,FG+ALL,102.18
,رياضيات,,,,,,FG+ALL,
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,146.66
,إقتصاد وتصرف,,,,,,FG+ALL,77.564
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,117.611
,المعهد العالي للعلوم الإنسانية بمدنين (جامعة قابس ),,54106,,,,FG+ALL,84.927
,علوم تجريبية,,,,,علوم تجريبية,FG+ALL,122.788
,إقتصاد وتصرف,,,,,,FG+ALL,98.101
,العلوم التقنية,,,,,العلوم التقنية,FG+ALL,
,-اللغة والآداب والحضارة -تواصل الثقافات والسياحة,,10107,,,,FG+(A+Ang+F)/3,76.938
,رياضيات,,,,,,FG+(A+Ang+F)/3,134.752
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+F)/3,117.458
,إقتصاد وتصرف,,,,,,FG+(A+Ang+F)/3,74.624
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+F)/3,103.976
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+F)/3,116.407
,رياضة,,,,,رياضة,FG+(A+Ang+F)/3,
,المعهد العالي للغات بتونس (جامعة قرطاج),,10108,,,,FG+(A+Ang+F)/3,75.505
,3 سنوات (امد),,,,,,FG+(A+Ang+F)/3,
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+F)/3,114.963
,إقتصاد وتصرف,,,,,,FG+(A+Ang+F)/3,82.558
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+F)/3,101.44
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+F)/3,83.099
,رياضة,,,,,رياضة,FG+(A+Ang+F)/3,98.225
,المعهد العالي للعلوم الإنسانية بتونس (جامعة تونس المنار),,10119,,,,FG+(A+F)/2,103.31
,3 سنوات (امد),,,,,,FG+(A+F)/2,
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+F)/2,96.607
,إقتصاد وتصرف,,,,,,FG+(A+F)/2,84.49
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+F)/2,113.11
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+F)/2,138.555
,رياضة,,,,,رياضة,FG+(A+F)/2,139.895
,المعهد العالي للغات بالمكنين (جامعة المنستير),,34147,,,,FG+(A+Ang+F)/3,108.815
,3 سنوات (امد),,,,,,FG+(A+Ang+F)/3,104.182
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+F)/3,134.793
,إقتصاد وتصرف,,,,,,FG+(A+Ang+F)/3,81.476
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+F)/3,112.142
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+F)/3,115.982
,رياضة,,,,,رياضة,FG+(A+Ang+F)/3,164.868
,كلية الآداب والعلوم الإنسانية بصفاقس (جامعة صفاقس),,40147,,,,FG+(A+Ang+F)/3,100.722
,رياضيات,,,,,,FG+(A+Ang+F)/3,
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+F)/3,132.281
,إقتصاد وتصرف,,,,,,FG+(A+Ang+F)/3,72.431
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+F)/3,113.349
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+F)/3,
,كلية الآداب والعلوم الإنسانية بالقيروان (جامعة القيروان),,70147,,,,FG+(A+Ang+F)/3,73.62
,رياضيات,,,,,,FG+(A+Ang+F)/3,105.244
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+F)/3,119.943
,إقتصاد وتصرف,,,,,,FG+(A+Ang+F)/3,88.288
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+F)/3,102.275
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+F)/3,102.557
,المعهد التحضيري للد ارسات الأدبية والعلوم الإنسانية بتونس (جامعة تونس ),,10190,,,,FG+(2A+Ang+F)/4,109.373
,القصو ى أقل من 20 سنة في غرة سبتمبر,,,,,,FG+(2A+Ang+F)/4,
,علوم تجريبية,,,,,علوم تجريبية,FG+(2A+Ang+F)/4,130.053
,إقتصاد وتصرف,,,,,,FG+(2A+Ang+F)/4,104.248
,العلوم التقنية,,,,,العلوم التقنية,FG+(2A+Ang+F)/4,98.565
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(2A+Ang+F)/4,
,رياضة,,,,,رياضة,FG+(2A+Ang+F)/4,
,كلية الآداب والفنون والإنسانيات بمنوبة (جامعة منوبة ),,11190,,,,FG+(2A+Ang+F)/4,87.322
,رياضيات,,,,,,FG+(2A+Ang+F)/4,
,علوم تجريبية,,,,,علوم تجريبية,FG+(2A+Ang+F)/4,107.073
,إقتصاد وتصرف,,,,,,FG+(2A+Ang+F)/4,84.998
,العلوم التقنية,,,,,العلوم التقنية,FG+(2A+Ang+F)/4,76.153
,المعهد التحضيري للد ارسات الأدبية والعلوم الإنسانية بتونس (جامعة تونس ),,10191,,,,FG+(A+Ang+2F)/4,113.995
,السن القصو ى أقل من 20 سنة في غرة سبتمبر,,,,,,FG+(A+Ang+2F)/4,147.478
,علوم تجريبية,,,,,علوم تجريبية,FG+(A+Ang+2F)/4,126.368
,إقتصاد وتصرف,,,,,,FG+(A+Ang+2F)/4,104.282
,العلوم التقنية,,,,,العلوم التقنية,FG+(A+Ang+2F)/4,114.76
,علوم الإعلامية,,,,,علوم الإعلامية,FG+(A+Ang+2F)/4,
,رياضة,,,,,رياضة,FG+(A+Ang+2F)/4,114.44
